TEAM_REF,HOME_BASE,NETWORK_ZONE,DISTANCE_TO_NODE,ASSIGNMENT_NOTE,source_url_x,TRACK,AI_INTENSITY,INNOVATION_SCORE,SPRING_NOTE,source_url_y,PITCH_TRACK,ELIGIBILITY_SCORE,SERVER_CREDITS,PANEL_NOTE,source_url
SC001Anteater Cart,Mesa Court West,Dorm uplink A,201.0,Housing export preserved the original backbone routing label.,https://bana290-assignment4.netlify.app/briefs/fiber-access-bulletin,Campus Commerce,52400.0,61.0,Usage load reflects model prototyping during the winter and spring build cycle.,https://bana290-assignment4.netlify.app/briefs/builder-metrics-ledger,Campus Commerce,82.9,Waitlist / mentor hours,Teams at or above 85 automatically received overnight server credits.,https://bana290-assignment4.netlify.app/briefs/anteater-fund-panel
SC002Mesa Cart,Middle Earth Towers,Residential switch B,330.0,Administrative placement log was finalized before spring showcase scoring.,https://bana290-assignment4.netlify.app/briefs/fiber-access-bulletin,Creator Tools,57.1,57.9,Archive note says a hackathon week may have inflated some compute logs.,https://bana290-assignment4.netlify.app/briefs/builder-metrics-ledger,Creator Tools,81.0,Waitlist / mentor hours,Panel archived exact pitch scores without rounding to whole points.,https://bana290-assignment4.netlify.app/briefs/anteater-fund-panel
SC003Zot Cart,Campus Village,Student village relay,590.0,Distance field kept the archive unit exactly as shown in the facilities pull.,https://bana290-assignment4.netlify.app/briefs/fiber-access-bulletin,Mobility,62.9,73.7,Metrics were pulled after demo day QA and were not unit-normalized.,https://bana290-assignment4.netlify.app/briefs/builder-metrics-ledger,Mobility,92.1,Awarded: 8 GPU nights,The export kept the committee's original note style and award labels.,https://bana290-assignment4.netlify.app/briefs/anteater-fund-panel
SC004Bren Cart,Plaza Verde,ACC uplink east,827.0,Student hub was matched to the nearest sync cabinet used by the incubator.,https://bana290-assignment4.netlify.app/briefs/fiber-access-bulletin,Campus Commerce,65800.0,72.0,Innovation review kept the original mixed score formatting from the incubator export.,https://bana290-assignment4.netlify.app/briefs/builder-metrics-ledger,Campus Commerce,89.5,Awarded: 8 GPU nights,Below-cutoff teams remained on the mentoring-only waitlist during the quarter.,https://bana290-assignment4.netlify.app/briefs/anteater-fund-panel
SC005Petr Cart,Arroyo Vista,Greek village relay,810.0,Housing export preserved the original backbone routing label.,https://bana290-assignment4.netlify.app/briefs/fiber-access-bulletin,Creator Tools,59.7,57.1,Usage load reflects model prototyping during the winter and spring build cycle.,https://bana290-assignment4.netlify.app/briefs/builder-metrics-ledger,Creator Tools,80.9,Waitlist / mentor hours,Teams at or above 85 automatically received overnight server credits.,https://bana290-assignment4.netlify.app/briefs/anteater-fund-panel
SC006Ring Cart,Verano Place,Graduate housing switch,1100.0,Administrative placement log was finalized before spring showcase scoring.,https://bana290-assignment4.netlify.app/briefs/fiber-access-bulletin,Mobility,55.5,59.3,Archive note says a hackathon week may have inflated some compute logs.,https://bana290-assignment4.netlify.app/briefs/builder-metrics-ledger,Mobility,80.4,Waitlist / mentor hours,Panel archived exact pitch scores without rounding to whole points.,https://bana290-assignment4.netlify.app/briefs/anteater-fund-panel
SC007Blue Cart,Stanford Court,UTC west relay,1156.0,Distance field kept the archive unit exactly as shown in the facilities pull.,https://bana290-assignment4.netlify.app/briefs/fiber-access-bulletin,Campus Commerce,58700.0,72.0,Metrics were pulled after demo day QA and were not unit-normalized.,https://bana290-assignment4.netlify.app/briefs/builder-metrics-ledger,Campus Commerce,85.7,Awarded: 8 GPU nights,The export kept the committee's original note style and award labels.,https://bana290-assignment4.netlify.app/briefs/anteater-fund-panel
SC008Gold Cart,Berkeley Court,UTC south relay,1320.0,Student hub was matched to the nearest sync cabinet used by the incubator.,https://bana290-assignment4.netlify.app/briefs/fiber-access-bulletin,Creator Tools,46.3,52.0,Innovation review kept the original mixed score formatting from the incubator export.,https://bana290-assignment4.netlify.app/briefs/builder-metrics-ledger,Creator Tools,76.8,Waitlist / mentor hours,Below-cutoff teams remained on the mentoring-only waitlist during the quarter.,https://bana290-assignment4.netlify.app/briefs/anteater-fund-panel
SC009Arc Cart,Mesa Court West,Dorm uplink A,280.0,Housing export preserved the original backbone routing label.,https://bana290-assignment4.netlify.app/briefs/fiber-access-bulletin,Mobility,142.0,72.0,Usage load reflects model prototyping during the winter and spring build cycle.,https://bana290-assignment4.netlify.app/briefs/builder-metrics-ledger,Mobility,85.5,Awarded: 8 GPU nights,Teams at or above 85 automatically received overnight server credits.,https://bana290-assignment4.netlify.app/briefs/anteater-fund-panel
SC010Bridge Cart,Middle Earth Towers,Residential switch B,428.0,Administrative placement log was finalized before spring showcase scoring.,https://bana290-assignment4.netlify.app/briefs/fiber-access-bulletin,Campus Commerce,68200.0,61.0,Archive note says a hackathon week may have inflated some compute logs.,https://bana290-assignment4.netlify.app/briefs/builder-metrics-ledger,Campus Commerce,82.2,Waitlist / mentor hours,Panel archived exact pitch scores without rounding to whole points.,https://bana290-assignment4.netlify.app/briefs/anteater-fund-panel
SC011Open Cart,Campus Village,Student village relay,660.0,Distance field kept the archive unit exactly as shown in the facilities pull.,https://bana290-assignment4.netlify.app/briefs/fiber-access-bulletin,Creator Tools,50.2,54.4,Metrics were pulled after demo day QA and were not unit-normalized.,https://bana290-assignment4.netlify.app/briefs/builder-metrics-ledger,Creator Tools,78.4,Waitlist / mentor hours,The export kept the committee's original note style and award labels.,https://bana290-assignment4.netlify.app/briefs/anteater-fund-panel
SC012Signal Cart,Plaza Verde,ACC uplink east,718.0,Student hub was matched to the nearest sync cabinet used by the incubator.,https://bana290-assignment4.netlify.app/briefs/fiber-access-bulletin,Mobility,55.1,61.0,Innovation review kept the original mixed score formatting from the incubator export.,https://bana290-assignment4.netlify.app/briefs/builder-metrics-ledger,Mobility,82.4,Waitlist / mentor hours,Below-cutoff teams remained on the mentoring-only waitlist during the quarter.,https://bana290-assignment4.netlify.app/briefs/anteater-fund-panel
