TEAM_REF,HOME_BASE,NETWORK_ZONE,DISTANCE_TO_NODE,ASSIGNMENT_NOTE,source_url_x,TRACK,AI_INTENSITY,INNOVATION_SCORE,SPRING_NOTE,source_url_y,PITCH_TRACK,ELIGIBILITY_SCORE,SERVER_CREDITS,PANEL_NOTE,source_url
SC001Anteater Cart,Mesa Court West,Dorm uplink A,201 m,Housing export preserved the original backbone routing label.,https://bana290-assignment4.netlify.app/briefs/fiber-access-bulletin,Campus Commerce,52.4 gpu-hrs/wk,61.0 / 100,Usage load reflects model prototyping during the winter and spring build cycle.,https://bana290-assignment4.netlify.app/briefs/builder-metrics-ledger,Campus Commerce,82.9 / 100,Waitlist / mentor hours,Teams at or above 85 automatically received overnight server credits.,https://bana290-assignment4.netlify.app/briefs/anteater-fund-panel
SC002Mesa Cart,Middle Earth Towers,Residential switch B,0.33 km from backbone,Administrative placement log was finalized before spring showcase scoring.,https://bana290-assignment4.netlify.app/briefs/fiber-access-bulletin,Creator Tools,~57.1 model hrs,57.9 score,Archive note says a hackathon week may have inflated some compute logs.,https://bana290-assignment4.netlify.app/briefs/builder-metrics-ledger,Creator Tools,Pitch rating = 81.0,Waitlist / mentor hours,Panel archived exact pitch scores without rounding to whole points.,https://bana290-assignment4.netlify.app/briefs/anteater-fund-panel
SC003Zot Cart,Campus Village,Student village relay,~0.59km,Distance field kept the archive unit exactly as shown in the facilities pull.,https://bana290-assignment4.netlify.app/briefs/fiber-access-bulletin,Mobility,62.9 builder hours,73.7 / 100,Metrics were pulled after demo day QA and were not unit-normalized.,https://bana290-assignment4.netlify.app/briefs/builder-metrics-ledger,Mobility,92.1 score,Awarded: 8 GPU nights,The export kept the committee's original note style and award labels.,https://bana290-assignment4.netlify.app/briefs/anteater-fund-panel
SC004Bren Cart,Plaza Verde,ACC uplink east,Distance: 827 meters,Student hub was matched to the nearest sync cabinet used by the incubator.,https://bana290-assignment4.netlify.app/briefs/fiber-access-bulletin,Campus Commerce,65.8 gpu-hrs/wk,72.0 score,Innovation review kept the original mixed score formatting from the incubator export.,https://bana290-assignment4.netlify.app/briefs/builder-metrics-ledger,Campus Commerce,panel avg 89.5,Awarded: 8 GPU nights,Below-cutoff teams remained on the mentoring-only waitlist during the quarter.,https://bana290-assignment4.netlify.app/briefs/anteater-fund-panel
SC005Petr Cart,Arroyo Vista,Greek village relay,0.81 km | fiber hop,Housing export preserved the original backbone routing label.,https://bana290-assignment4.netlify.app/briefs/fiber-access-bulletin,Creator Tools,~59.7 model hrs,57.1 / 100,Usage load reflects model prototyping during the winter and spring build cycle.,https://bana290-assignment4.netlify.app/briefs/builder-metrics-ledger,Creator Tools,80.9 points,Waitlist / mentor hours,Teams at or above 85 automatically received overnight server credits.,https://bana290-assignment4.netlify.app/briefs/anteater-fund-panel
SC006Ring Cart,Verano Place,Graduate housing switch,"1,100 meters (sync route)",Administrative placement log was finalized before spring showcase scoring.,https://bana290-assignment4.netlify.app/briefs/fiber-access-bulletin,Mobility,55.5 builder hours,59.3 score,Archive note says a hackathon week may have inflated some compute logs.,https://bana290-assignment4.netlify.app/briefs/builder-metrics-ledger,Mobility,Score: 80.4 pts,Waitlist / mentor hours,Panel archived exact pitch scores without rounding to whole points.,https://bana290-assignment4.netlify.app/briefs/anteater-fund-panel
SC007Blue Cart,Stanford Court,UTC west relay,"1,156 m",Distance field kept the archive unit exactly as shown in the facilities pull.,https://bana290-assignment4.netlify.app/briefs/fiber-access-bulletin,Campus Commerce,58.7 gpu-hrs/wk,72.0 / 100,Metrics were pulled after demo day QA and were not unit-normalized.,https://bana290-assignment4.netlify.app/briefs/builder-metrics-ledger,Campus Commerce,85.7 / 100,Awarded: 8 GPU nights,The export kept the committee's original note style and award labels.,https://bana290-assignment4.netlify.app/briefs/anteater-fund-panel
SC008Gold Cart,Berkeley Court,UTC south relay,1.32 km from backbone,Student hub was matched to the nearest sync cabinet used by the incubator.,https://bana290-assignment4.netlify.app/briefs/fiber-access-bulletin,Creator Tools,~46.3 model hrs,52.0 score,Innovation review kept the original mixed score formatting from the incubator export.,https://bana290-assignment4.netlify.app/briefs/builder-metrics-ledger,Creator Tools,Pitch rating = 76.8,Waitlist / mentor hours,Below-cutoff teams remained on the mentoring-only waitlist during the quarter.,https://bana290-assignment4.netlify.app/briefs/anteater-fund-panel
SC009Arc Cart,Mesa Court West,Dorm uplink A,~0.28km,Housing export preserved the original backbone routing label.,https://bana290-assignment4.netlify.app/briefs/fiber-access-bulletin,Mobility,142.0 builder hours,72.0 / 100,Usage load reflects model prototyping during the winter and spring build cycle.,https://bana290-assignment4.netlify.app/briefs/builder-metrics-ledger,Mobility,85.5 score,Awarded: 8 GPU nights,Teams at or above 85 automatically received overnight server credits.,https://bana290-assignment4.netlify.app/briefs/anteater-fund-panel
SC010Bridge Cart,Middle Earth Towers,Residential switch B,Distance: 428 meters,Administrative placement log was finalized before spring showcase scoring.,https://bana290-assignment4.netlify.app/briefs/fiber-access-bulletin,Campus Commerce,68.2 gpu-hrs/wk,61.0 score,Archive note says a hackathon week may have inflated some compute logs.,https://bana290-assignment4.netlify.app/briefs/builder-metrics-ledger,Campus Commerce,panel avg 82.2,Waitlist / mentor hours,Panel archived exact pitch scores without rounding to whole points.,https://bana290-assignment4.netlify.app/briefs/anteater-fund-panel
